Ticker,ISIN
SAP.DE,DE0007164600
SBUX,US8552441094
SCHW,US8085131055
SHOP,CA82509L1076
SIE.DE,DE0007236101
SNDK,US80004C1018
SNPS,US8716071076
SO,US8425871071
SP5A.MI,IE00B3YCGJ38
SPG,US8288061091
SRG.MI,IT0003153415
STLAM.MI,NL00150001Q9
STMMI.MI,NL0000226223
STX,IE00BKVD2N49
T,US00206R1023
TEF.MC,ES0178430E18
TEN.MI,LU2598331598
TMO,US8835561023
TMUS,US8725901040
TRET.MI,NL0009690239
TRI,CA8849038085
TRN.MI,IT0003242622
TSLA,US88160R1014
TTWO,US8740541094
TXN,US8825081040
UBER,US90353T1007
UCG.MI,IT0005239360
UNH,US91324P1021
UNP,US9078181081
UPS,US9113121068
USB,US9029733048
V,US92826C8394
V3AA.MI,IE00BNG8L278
V3EA.MI,IE000QUOSE01
V3GF.MI,IE00BNDS1P30
V3MA.MI,IE000KPJJWM6
V3NA.MI,IE000O58J820
V3PA.MI,IE000GOJO2A3
V3RE.MI,IE000QADMYA3
VAGF.MI,IE00BG47KH54
VCDE.MI,IE00BGYWSW13
VCSHA.MI,IE000SOORXS0
VDCA.MI,IE00BGYWSV06
VDCE.MI,IE00BGYWFL94
VDEA.MI,IE00BGYWCB81
VDST.MI,IE00BLRPPV00
VDTA.MI,IE00BGYWFS63
VDTE.MI,IE00BMX0B631
VECA.MI,IE00BGYWT403
VERE.MI,IE00BK5BQY34
VFEA.MI,IE00BK5BR733
VGEA.MI,IE00BH04GL39
VGEK.DE,IE00BK5BQZ41
VGGF.MI,IE000B1A2798
VGUE.DE,IE00BMX0B524
VHVE.MI,IE00BK5BQV03
VHYA.MI,IE00BK5BR626
VITS.MI,IE000VZ8BBU9
VJPA.MI,IE00BFMXYX26
VJPE.MI,IE00BFMXYY33
VLDS.MI,IE000UXDT343
VNA.DE,DE000A1ML7J1
VNRA.MI,IE00BK5BQW10
VOS.DE,DE0007667107
VRSK,US92345Y1064
VRTX,US92532F1003
VSCF.MI,IE00BH04FZ00
VSGF.MI,IE00004S2680
VUAA.MI,IE00BFMXXD54
VUCE.MI,IE00BGYWFK87
VUDE.MI,IE000TAV7246
VUDS.MI,IE000H3Q3AF6
VWCE.MI,IE00BK5BQT80
VWCG.MI,IE00BK5BQX27
VZ,US92343V1044
WAF.DE,DE000WAF3001
WBD,US9344231041
WDAY,US98138H1014
WDC,US9581021055
WFC,US9497461015
WMT,US9311421039
XAD5.MI,DE000A1E0HR8
XEL,US98389B1008
XLBS.MI,IE00BWBXM831
XLCS.MI,IE00BFWFPX50
XLFS.MI,IE00BWBXM500
XLIS.MI,IE00BWBXM724
XLKS.MI,IE00BWBXM948
XLPS.MI,IE00BWBXM385
XLUS.MI,IE00B3VPKB53
XLVS.MI,IE00BWBXM617
XLYS.MI,IE00BWBXM278
XMME.MI,IE00BTJRMP35
XOM,US30231G1022
XRES.MI,IE00BYM8JD58
ZS,US98980G1022
