rebal_date,tickers,carried,n_passed_filters,universe
2026-03-31,"['ADV.DE', 'DHL.DE', 'XEON.MI', 'HEI.DE', 'FRA.DE']",False,12,"['ADV.DE', 'DHL.DE', 'ENR.DE', 'FRA.DE', 'GBF.DE', 'HEI.DE', 'HOT.DE', 'IFX.DE', 'KBX.DE', 'LEG.DE', 'VOS.DE', 'XEON.MI']"
2026-06-26,"['LEG.DE', 'IBTS.MI', 'VNA.DE', 'MTX.DE', 'SIE.DE']",False,16,"['ENR.DE', 'FRA.DE', 'GBF.DE', 'HEI.DE', 'HOT.DE', 'IFX.DE', 'KBX.DE', 'LEG.DE', 'MTX.DE', 'NDX1.DE', 'SIE.DE', 'VNA.DE', 'VOS.DE', 'WAF.DE', 'IBTS.MI', 'XAD5.MI']"
