Window,rebalance_frequency,momentum_lookback_days,riskparity_lookback_days,n_top,use_acceleration,momentum_weight,filter_ema,filter_volatility,filter_min_momentum,TrainScore,TestScore
2021-01-01→2021-12-31,ME,60,20,1,False,1.0,True,False,False,0.15461078594994082,0.11995449864431174
2022-01-01→2022-12-31,ME,40,20,1,False,0.5,True,False,False,0.26178246508948666,0.02214292986202393
2023-01-01→2023-12-31,ME,20,60,1,False,0.5,True,False,False,0.141252752616577,0.028901647549275822
2024-01-01→2024-12-31,ME,20,20,3,False,0.5,True,False,False,0.12285113229383726,0.2460302650618762
2025-01-01→2025-12-31,ME,60,20,1,False,1.0,True,False,False,0.24797063122564245,0.1131289492913421
2026-01-01→2026-12-31,ME,60,60,1,False,0.5,True,False,False,0.23063172245902508,
