# === WFO METADATA ===
# created_at = 2026-01-08T18:14:00
# metric = CAGR
# train_years = 3
# test_years = 1
# force_next_year_params = False
# param_grid = {"rebalance_frequency":["QE","ME"],"momentum_lookback_days":[5,10,20],"riskparity_lookback_days":[5,10,20],"n_top":[3,5,8],"use_acceleration":[true],"momentum_weight":[0.5,0.7,1.0],"filter_ema":[true,false],"filter_volatility":[true,false],"filter_min_momentum":[true,false]}
# === WFO RESULTS ===
Window,rebalance_frequency,momentum_lookback_days,riskparity_lookback_days,n_top,use_acceleration,momentum_weight,filter_ema,filter_volatility,filter_min_momentum,TrainScore,TestScore
2022-01-01→2022-12-31,ME,5,20,5,True,0.7,False,False,True,0.1879137077282682,-0.03423322231826
2023-01-01→2023-12-31,QE,5,10,8,True,0.7,True,False,False,0.1499710155327374,0.0738597507649687
2024-01-01→2024-12-31,ME,5,20,5,True,0.7,True,False,True,0.1180880296845394,0.0538511102849157
2025-01-01→2025-12-31,ME,20,20,5,True,1.0,True,True,True,0.0908386473529287,0.0805890179043944
2026-01-01→2026-12-31,QE,5,10,3,True,1.0,False,True,True,0.1360126942561395,0.0
